# eHive object record fields, for reference when extending the export.
#
# Extracted 2026-09-02 from the "Fieldnames (do not edit)" worksheet of
# 'ehive_import_spreadsheet - march 2026.xlsm', downloaded from
# https://info.ehive.com/importing-data/
#
# These are the fields reachable through the spreadsheet's Insert Column button,
# i.e. everything available BEYOND the 59 columns the standard sheet ships with.
# Label<TAB>import field name. Re-extract when eHive publish a new workbook.
#
# The workbook itself is deliberately not committed: it is Vernon Systems' file,
# it is several megabytes of macro-enabled binary, and the URL above is stable.
Acquisition Condition	condition_at_acquisition
Association Keyword	association_keyword
Carrier Type	carrier_type
Catalogued Date	catalogued_date
Cataloguer	cataloguer
Classification	classification
Collection Type	department
Comments	comments
Comments Date	comments_date
Comments Person	comments_person
Completed Treatment Date	completed_treatment_date
Completed Treatment Keyword	completed_treatment_keyword
Completed Treatment Notes	completed_treatment_notes
Completed Treatment Part Reference	completed_treatment_part_reference
Completed Treatment Person	completed_treatment_person
Condition Date	condition_date
Condition Keyword	condition_keyword
Condition Notes	condition_notes
Condition Part Aspect	condition_part_reference_aspect
Condition Person	condition_person
Conservation Priority	conservation_priority
Controlling Institution	controlling_institution
Current Record Status	current_record_status
Date Made (text)	date_made
Datum	datum
Deaccession Authoriser	deaccession_authoriser
Deaccession Authoriser Position	deaccession_authoriser_position
Deaccession Date	deaccession_date
Deaccession Method	deaccession_method
Deaccession Proceeds	deaccession_proceeds
Deaccession Reason	deaccession_reason
Deaccession Status	deaccession_status
Display Details	display_details
Edition	edition
Exhibition History	exhibition_history
External Database ID	external_database_id
Field Collection Date	field_collection_date
Field Collection Description	field_collection_description
Field Collection Method	field_collection_method
Field Collection Notes	field_collection_notes
Field Collection Place Keyword	field_collection_place_keyword
Field Collection Reference	field_collection_reference
Field Collection Time	field_collection_time
Field Collector	field_collector
Field Collector Role	field_collector_role
Film Type	film_type
Format	format
Funder	funder
Funder Amount	funder_amount
Funder Type	funder_type
General Flag	general_flag_admin
General Notes Admin	general_notes_admin
General Notes Object	general_notes_object
General Notes Place Mark	general_notes_place_mark
